INSERT INTO `post` (`p_parent_id`, `p_text`, `p_date`, `p_level`, `p_root`) VALUES
(210, Сообщение 211, 2017-08-14 22:57, 0, 0),
(211, Сообщение 212, 2017-08-15 22:57, 0, 0),
(212, Сообщение 213, 2017-08-16 22:57, 0, 0),
(213, Сообщение 214, 2017-08-17 22:57, 0, 0),
(214, Сообщение 215, 2017-08-18 22:57, 0, 0),
(215, Сообщение 216, 2017-08-19 22:57, 0, 0),
(NULL, Сообщение 217, 2017-08-20 22:57, 0, 0),
(205, Сообщение 218, 2017-08-21 22:57, 0, 0),
(206, Сообщение 219, 2017-08-22 22:57, 0, 0),
(207, Сообщение 220, 2017-08-23 22:57, 0, 0),
(208, Сообщение 221, 2017-08-24 22:57, 0, 0),
(209, Сообщение 222, 2017-08-25 22:57, 0, 0),
(210, Сообщение 223, 2017-08-26 22:57, 0, 0),
(211, Сообщение 224, 2017-08-27 22:57, 0, 0),
(212, Сообщение 225, 2017-08-28 22:57, 0, 0),
(213, Сообщение 226, 2017-08-29 22:57, 0, 0),
(214, Сообщение 227, 2017-08-30 22:57, 0, 0),
(215, Сообщение 228, 2017-08-31 22:57, 0, 0),
(216, Сообщение 229, 2017-09-01 22:57, 0, 0),
(NULL, Сообщение 230, 2017-09-02 22:57, 0, 0),
(230, Сообщение 231, 2017-09-03 22:57, 0, 0),
(207, Сообщение 232, 2017-09-04 22:57, 0, 0),
(208, Сообщение 233, 2017-09-05 22:57, 0, 0),
(209, Сообщение 234, 2017-09-06 22:57, 0, 0),
(210, Сообщение 235, 2017-09-07 22:57, 0, 0),
(211, Сообщение 236, 2017-09-08 22:57, 0, 0),
(212, Сообщение 237, 2017-09-09 22:57, 0, 0),
(213, Сообщение 238, 2017-09-10 22:57, 0, 0),
(214, Сообщение 239, 2017-09-11 22:57, 0, 0),
(201, Сообщение 240, 2017-09-12 22:57, 0, 0),
(NULL, Сообщение 241, 2017-09-13 22:57, 0, 0),
(209, Сообщение 242, 2017-09-14 22:57, 0, 0),
(210, Сообщение 243, 2017-09-15 22:57, 0, 0),
(211, Сообщение 244, 2017-09-16 22:57, 0, 0),
(212, Сообщение 245, 2017-09-17 22:57, 0, 0),
(213, Сообщение 246, 2017-09-18 22:57, 0, 0),
(214, Сообщение 247, 2017-09-19 22:57, 0, 0),
(215, Сообщение 248, 2017-09-20 22:57, 0, 0),
(216, Сообщение 249, 2017-09-21 22:57, 0, 0),
(214, Сообщение 250, 2017-09-22 22:57, 0, 0),
(215, Сообщение 251, 2017-09-23 22:57, 0, 0),
(216, Сообщение 252, 2017-09-24 22:57, 0, 0),
(NULL, Сообщение 253, 2017-09-25 22:57, 0, 0),
(253, Сообщение 254, 2017-09-26 22:57, 0, 0),
(253, Сообщение 255, 2017-09-27 22:57, 0, 0),
(253, Сообщение 256, 2017-09-28 22:57, 0, 0),
(253, Сообщение 257, 2017-09-29 22:57, 0, 0),
(253, Сообщение 258, 2017-09-30 22:57, 0, 0);
